;ds;y;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;Christi Himmelfahrt;Christi Himmelfahrt_lower;Christi Himmelfahrt_upper;Erster Mai;Erster Mai_lower;Erster Mai_upper;Erster Weihnachtstag;Erster Weihnachtstag_lower;Erster Weihnachtstag_upper;Karfreitag;Karfreitag_lower;Karfreitag_upper;Neujahr;Neujahr_lower;Neujahr_upper;Ostermontag;Ostermontag_lower;Ostermontag_upper;Pfingstmontag;Pfingstmontag_lower;Pfingstmontag_upper;Reformationstag;Reformationstag_lower;Reformationstag_upper;Tag der Deutschen Einheit;Tag der Deutschen Einheit_lower;Tag der Deutschen Einheit_upper;Zweiter Weihnachtstag;Zweiter Weihnachtstag_lower;Zweiter Weihnachtstag_upper;additive_terms;additive_terms_lower;additive_terms_upper;holidays;holidays_lower;holidays_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat;residuals
0;2011-10-01;32508472.0;11712651.356800795;-94644482.39677942;92193646.33548148;11712651.356800795;11712651.356800795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-14414982.46909482;-14414982.46909482;-14414982.46909482;0.0;0.0;0.0;-6154247.233108598;-6154247.233108598;-6154247.233108598;-8260735.235986223;-8260735.235986223;-8260735.235986223;0.0;0.0;0.0;-2702331.1122940257;-35210803.112294026
1;2011-10-02;148372013.0;11686091.530063799;-116542634.39581688;78243039.37061225;11686091.530063799;11686091.530063799;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28377247.701185822;-28377247.701185822;-28377247.701185822;0.0;0.0;0.0;-19030283.04566307;-19030283.04566307;-19030283.04566307;-9346964.655522754;-9346964.655522754;-9346964.655522754;0.0;0.0;0.0;-16691156.171122024;-165063169.171122
2;2011-10-03;172975061.0;11659531.7033268;-68605775.18816705;120969758.3148252;11659531.7033268;11659531.7033268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13264116.249588965;13264116.249588965;13264116.249588965;0.0;0.0;0.0;13356637.800367279;13356637.800367279;13356637.800367279;13264116.249588965;13264116.249588965;13264116.249588965;10471503.781316072;10471503.781316072;10471503.781316072;-10378982.230537757;-10378982.230537757;-10378982.230537757;0.0;0.0;0.0;25016169.50369408;-147958891.4963059
3;2011-10-04;-50479807.0;11632971.876589805;-86942807.90158637;109722665.77703491;11632971.876589805;11632971.876589805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6158640.430354615;-6158640.430354615;-6158640.430354615;0.0;0.0;0.0;5176495.516121107;5176495.516121107;5176495.516121107;-11335135.946475722;-11335135.946475722;-11335135.946475722;0.0;0.0;0.0;5474331.44623519;55954138.44623519
4;2011-10-05;-86827616.0;11606412.049852807;-92658400.66938524;101876109.81975107;11606412.049852807;11606412.049852807;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-10691379.726456152;-10691379.726456152;-10691379.726456152;0.0;0.0;0.0;1503571.4166987806;1503571.4166987806;1503571.4166987806;-12194951.143154932;-12194951.143154932;-12194951.143154932;0.0;0.0;0.0;915032.3233966548;87742648.32339665
5;2011-10-06;-38491170.0;11579852.223115811;-89778122.8786302;94921301.83365798;11579852.223115811;11579852.223115811;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-10221502.287550488;-10221502.287550488;-10221502.287550488;0.0;0.0;0.0;2718160.6573731448;2718160.6573731448;2718160.6573731448;-12939662.944923632;-12939662.944923632;-12939662.944923632;0.0;0.0;0.0;1358349.9355653226;39849519.93556532
6;2011-10-07;-26412228.0;11553292.396378813;-84093940.6800504;104993112.19956209;11553292.396378813;11553292.396378813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-8237906.040743441;-8237906.040743441;-8237906.040743441;0.0;0.0;0.0;5314798.907265111;5314798.907265111;5314798.907265111;-13552704.94800855;-13552704.94800855;-13552704.94800855;0.0;0.0;0.0;3315386.355635372;29727614.35563537
7;2011-10-08;30342544.0;11526732.569641817;-98789262.14943291;86396563.58086012;11526732.569641817;11526732.569641817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-20174387.54005559;-20174387.54005559;-20174387.54005559;0.0;0.0;0.0;-6154247.233088486;-6154247.233088486;-6154247.233088486;-14020140.306967106;-14020140.306967106;-14020140.306967106;0.0;0.0;0.0;-8647654.970413774;-38990198.970413774
8;2011-10-09;101415182.0;11500172.74290482;-118294070.89400697;79066534.37365732;11500172.74290482;11500172.74290482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-33361306.060545366;-33361306.060545366;-33361306.060545366;0.0;0.0;0.0;-19030283.045644388;-19030283.045644388;-19030283.045644388;-14331023.01490098;-14331023.01490098;-14331023.01490098;0.0;0.0;0.0;-21861133.317640547;-123276315.31764054
9;2011-10-10;-73173901.0;11473612.916167822;-90335648.20328636;99959799.05318764;11473612.916167822;11473612.916167822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4006175.40204401;-4006175.40204401;-4006175.40204401;0.0;0.0;0.0;10471503.78132832;10471503.78132832;10471503.78132832;-14477679.183372332;-14477679.183372332;-14477679.183372332;0.0;0.0;0.0;7467437.514123812;80641338.51412381
