day;BK-Saldo;SystemSell;SystemBuy;ENTRY;EXIT;RLM;SLP;NK-Saldo;holiday;margin;rlm_imputation;exit_imputation;entry_imputation
2011-10-01;185578966.0;191914000.0;0.0;3291492618.0;1813803554.0;1153377976.0;311631504;38843506.0;0;-191914000.0;1120818446.67743;1770491351.342682;3224277009.420076
2011-10-02;214244658.0;120660000.0;0.0;3314660010.0;1887688227.0;1035180968.0;312944496;54787355.0;0;-120660000.0;1122259836.449542;1798523816.1716902;3152496034.5195065
2011-10-03;293628343.0;169770000.0;0.0;3338292533.0;1725049692.0;1147402669.0;307815984;49116718.0;1;-169770000.0;1158304366.8559878;1812370477.177872;3305365887.4399257
2011-10-04;70450930.0;137430000.0;0.0;3545042793.0;1876402397.0;1415470925.0;317136888;16499263.0;0;-137430000.0;1428488992.4585292;1712094622.765592;3427676393.975789
2011-10-05;52963565.0;126892000.0;0.0;3540875302.0;1807170276.0;1467580578.0;347090088;-12899181.0;0;-126892000.0;1426407950.0159435;1754168324.1378543;3368803271.892193
2011-10-06;-17393107.0;33600000.0;0.0;3593620442.0;1747665708.0;1483095676.0;413180784;12501937.0;0;-33600000.0;1419342345.760943;1711336045.025982;3457844284.893864
2011-10-07;-73906760.0;0.0;13680000.0;3813060539.0;1723193596.0;1510660002.0;632667624;33814532.0;0;13680000.0;1463589441.585794;1717110172.872323;3753850452.688384
2011-10-08;-34096871.0;0.0;18000000.0;3833053651.0;1750138375.0;1269300285.0;802145112;46439415.0;0;18000000.0;1290497151.5448864;1787088991.669733;3830436087.663417
2011-10-09;-40303120.0;0.0;72692000.0;3926013078.0;1748921444.0;1260037754.0;890675424;69026302.0;0;72692000.0;1317317193.5218918;1807959822.3510163;3943890186.349059
2011-10-10;-83607569.0;51300000.0;66240000.0;3912964955.0;1776567014.0;1499474263.0;690686928;-4506332.0;0;14940000.0;1516946222.8336134;1802331496.275268;3943506576.123032
2011-10-11;-58105314.0;0.0;49920000.0;3743277575.0;1687839522.0;1499071008.0;586794360;-67464755.0;0;49920000.0;1524237505.2526796;1759022338.188409;3790679767.8757887
2011-10-12;-72709250.0;0.0;139017000.0;3947430328.0;1672523646.0;1579195457.0;650417376;-76912464.0;0;139017000.0;1561003974.9423928;1812473871.1677215;3896706743.63085
2011-10-13;-102455930.0;0.0;161550000.0;4126252187.0;1665198093.0;1645239168.0;807488136;-2225831.0;0;161550000.0;1612777522.5956516;1837762406.0769832;4251290380.486548
2011-10-14;-77767923.0;0.0;163530000.0;4384186285.0;1668040939.0;1645906425.0;1036479672;54163679.0;0;163530000.0;1608445186.4210577;1843043754.5695791;4537533984.742991
2011-10-15;-46119261.0;0.0;0.0;4269179956.0;1739625652.0;1396884187.0;1157167944;101111262.0;0;0.0;1397182124.265026;1859997310.6429732;4423052369.325822
2011-10-16;-88707767.0;0.0;78480000.0;4197310854.0;1658297478.0;1385587360.0;1165223448;152213019.0;0;78480000.0;1413119621.5937693;1845872715.1605575;4515816473.694885
2011-10-17;-95728836.0;0.0;111850000.0;4430797312.0;1622892288.0;1722601358.0;1106691408;92444994.0;0;111850000.0;1702283287.6579936;1812645178.2615275;4704026443.117425
2011-10-18;-102121338.0;0.0;179785000.0;4622205164.0;1948543806.0;1673659546.0;974573832;-28237865.0;0;179785000.0;1697294052.5420866;1872889385.9318595;4624628199.156364
2011-10-19;-125752453.0;0.0;141858000.0;4823128865.0;1966851823.0;1781394725.0;1097724504;-18757149.0;0;141858000.0;1784746625.8415089;1916302642.6795084;4799475672.636179
2011-10-20;-138261507.0;0.0;126940000.0;5306662962.0;2247434387.0;1850779548.0;1259107968;21189460.0;0;126940000.0;1837285024.4268856;1980083512.3923955;5091965319.461991
2011-10-21;-166216300.0;0.0;132870000.0;5416580678.0;2264647510.0;1833240236.0;1386863448;49912534.0;0;132870000.0;1801488704.5046;2022536380.1754904;5321610305.909546
2011-10-22;-92744113.0;0.0;78840000.0;5100865762.0;2160430735.0;1539076445.0;1423075320;82178556.0;0;78840000.0;1557223799.1235635;2023009127.875572;5152178013.53193
2011-10-23;-116984047.0;0.0;38880000.0;4890029959.0;2050172967.0;1500413660.0;1413423360;102593699.0;0;38880000.0;1555153145.887196;2042990039.4466424;5144730954.138363
2011-10-24;-89121346.0;0.0;99960000.0;5207563528.0;2166849446.0;1739717811.0;1320546984;61084354.0;0;99960000.0;1789634721.7069626;2004709458.261895;5237678616.983602
2011-10-25;-64746858.0;0.0;28800000.0;5078932472.0;2154025491.0;1750698266.0;1189747584;29072579.0;0;28800000.0;1745406872.2300234;2095700422.777654;5017413651.632121
2011-10-26;-31304733.0;4320000.0;59580000.0;4922623175.0;2094244766.0;1756054661.0;1067019768;13054827.0;0;55260000.0;1722085038.5517995;1985121326.3482263;4825750788.794291
2011-10-27;-66097061.0;9360000.0;139772000.0;4885435563.0;2054886626.0;1760449843.0;1027111680;-69267872.0;0;130412000.0;1704136684.6119542;2040238920.231711;4793284706.459949
2011-10-28;6565720.0;0.0;119708000.0;4746550972.0;2029753397.0;1680830902.0;953998920;-17183408.0;0;119708000.0;1621079304.199149;2143292419.0668223;4665655985.394704
2011-10-29;35408848.0;0.0;74225000.0;4439514007.0;2048297672.0;1406532500.0;904927700;-25097144.0;0;74225000.0;1367450734.8578;2156701626.2667627;4395948540.740829
2011-10-30;41140559.0;0.0;0.0;4278872424.0;2142424790.0;1310362142.0;789481512;-40897694.0;0;0.0;1333777275.7864354;2182616245.793307;4166908048.835645
2011-10-31;71402792.0;0.0;21600000.0;4487824727.0;2091934738.0;1500600751.0;788999016;-70878442.0;0;21600000.0;1605059103.4693954;2046242745.12104;4382356883.930407
2011-11-01;16370473.0;0.0;59300000.0;4199133030.0;1859608434.0;1479642937.0;798300552;-120858300.0;0;59300000.0;1648641663.1900582;1953768588.4863863;4391885484.489794
2011-11-02;-68116239.0;0.0;153571000.0;4348194552.0;1763826545.0;1718007850.0;815299128;-135218328.0;0;153571000.0;1670916416.5095842;1882383280.0599024;4441067494.203044
2011-11-03;-80393360.0;0.0;273661000.0;4578580769.0;1952916544.0;1683506762.0;797909472;-143035927.0;0;273661000.0;1654383212.9637375;1889009515.875929;4493246163.295052
2011-11-04;-41825354.0;0.0;217712000.0;4565530070.0;1952032724.0;1660571553.0;830411544;-65224068.0;0;217712000.0;1611005109.2356253;1871987368.7271771;4503021219.26818
2011-11-05;-23612603.0;0.0;108970000.0;4053547449.0;1814347875.0;1410704615.0;772830288;-151516234.0;0;108970000.0;1369467789.8531606;1803418982.5360785;4116136636.640151
2011-11-06;-37997706.0;0.0;144810000.0;4138277241.0;1820848568.0;1391150509.0;835491240;-181610204.0;0;144810000.0;1394164243.9808164;1761025714.683274;4173821151.332195
2011-11-07;-124799325.0;0.0;307560000.0;4512493455.0;1621693566.0;1796837888.0;961335432;-183517399.0;0;307560000.0;1715209453.3974285;1748197998.7507343;4542482527.86527
2011-11-08;-183822288.0;0.0;344450000.0;4856213026.0;1850968523.0;1821116737.0;1066896840;-154170139.0;0;344450000.0;1763713190.867692;1731874831.9584498;4683534159.553766
2011-11-09;-138833021.0;0.0;454224000.0;5056387476.0;1796978958.0;1856771451.0;1149994176;-152282329.0;0;454224000.0;1853160499.4295504;1793232294.9060032;4923254414.154436
2011-11-10;-133647997.0;0.0;339016000.0;5095664367.0;1800697495.0;1878538549.0;1267957584;-139758881.0;0;339016000.0;1861053841.7764125;1817275286.3680625;4964084029.244232
2011-11-11;-109079014.0;0.0;251525000.0;5100869689.0;1750957038.0;1835874396.0;1435683048;-113014791.0;0;251525000.0;1867156426.7609816;1797754488.7766414;5247145328.599294
2011-11-12;-68086442.0;0.0;201260000.0;5018402761.0;1731686301.0;1609305344.0;1545107448;-46849847.0;0;201260000.0;1689948907.7776074;1855702724.215938;5239724211.396545
2011-11-13;-133780075.0;0.0;122490000.0;4987133362.0;1740229092.0;1648572574.0;1628420856;-51691591.0;0;122490000.0;1710792873.142588;1833463263.6964693;5287857400.80631
2011-11-14;-194829016.0;0.0;292811000.0;5700538809.0;1823396951.0;2079511872.0;1742917920;-73369596.0;0;292811000.0;2051592530.037068;1775829899.7601042;5692602462.9445305
2011-11-15;-179639558.0;0.0;254966000.0;5999491777.0;2005642628.0;2111995641.0;1856584968;-45153037.0;0;254966000.0;2095356343.2751496;1779313107.691265;5848507397.185531
2011-11-16;-173017482.0;0.0;287255000.0;6109438997.0;2010468588.0;2111215867.0;1933335792;-13408780.0;0;287255000.0;2102395321.9687943;1915362442.1145136;5953575247.220562
2011-11-17;-111570288.0;0.0;254360000.0;6032856047.0;1938739627.0;2093152733.0;1909253376;51388629.0;0;254360000.0;2118030202.0692616;1921698355.1640303;6006095555.242978
2011-11-18;-43961737.0;0.0;147360000.0;5547263275.0;1946692839.0;1918400274.0;1619095464;20919403.0;0;147360000.0;1941216528.4716969;1962429666.7385008;5445135612.47964
2011-11-19;9626472.0;141490000.0;57600000.0;5127310033.0;1904159963.0;1618010904.0;1618965528;118896938.0;0;-83890000.0;1726255785.4923058;1969786547.172613;5324355846.083963
2011-11-20;-16211408.0;46800000.0;40320000.0;5071781804.0;1878478972.0;1615562706.0;1596068328;55149293.0;0;-6480000.0;1723193037.6200736;1940395416.1253805;5231014951.793519
