day;BK-Saldo;SystemSell;SystemBuy;ENTRY;EXIT;RLM;SLP;NK-Saldo;holiday;margin
2011-10-01;185578966.0;191914000.0;0.0;3291492618.0;1813803554.0;1153377976.0;311631504;38843506.0;0;-191914000.0
2011-10-02;214244658.0;120660000.0;0.0;3314660010.0;1887688227.0;1035180968.0;312944496;54787355.0;0;-120660000.0
2011-10-03;293628343.0;169770000.0;0.0;3338292533.0;1725049692.0;1147402669.0;307815984;49116718.0;1;-169770000.0
2011-10-04;70450930.0;137430000.0;0.0;3545042793.0;1876402397.0;1415470925.0;317136888;16499263.0;0;-137430000.0
2011-10-05;52963565.0;126892000.0;0.0;3540875302.0;1807170276.0;1467580578.0;347090088;-12899181.0;0;-126892000.0
2011-10-06;-17393107.0;33600000.0;0.0;3593620442.0;1747665708.0;1483095676.0;413180784;12501937.0;0;-33600000.0
2011-10-07;-73906760.0;0.0;13680000.0;3813060539.0;1723193596.0;1510660002.0;632667624;33814532.0;0;13680000.0
2011-10-08;-34096871.0;0.0;18000000.0;3833053651.0;1750138375.0;1269300285.0;802145112;46439415.0;0;18000000.0
2011-10-09;-40303120.0;0.0;72692000.0;3926013078.0;1748921444.0;1260037754.0;890675424;69026302.0;0;72692000.0
2011-10-10;-83607569.0;51300000.0;66240000.0;3912964955.0;1776567014.0;1499474263.0;690686928;-4506332.0;0;14940000.0
2011-10-11;-58105314.0;0.0;49920000.0;3743277575.0;1687839522.0;1499071008.0;586794360;-67464755.0;0;49920000.0
2011-10-12;-72709250.0;0.0;139017000.0;3947430328.0;1672523646.0;1579195457.0;650417376;-76912464.0;0;139017000.0
2011-10-13;-102455930.0;0.0;161550000.0;4126252187.0;1665198093.0;1645239168.0;807488136;-2225831.0;0;161550000.0
2011-10-14;-77767923.0;0.0;163530000.0;4384186285.0;1668040939.0;1645906425.0;1036479672;54163679.0;0;163530000.0
2011-10-15;-46119261.0;0.0;0.0;4269179956.0;1739625652.0;1396884187.0;1157167944;101111262.0;0;0.0
2011-10-16;-88707767.0;0.0;78480000.0;4197310854.0;1658297478.0;1385587360.0;1165223448;152213019.0;0;78480000.0
2011-10-17;-95728836.0;0.0;111850000.0;4430797312.0;1622892288.0;1722601358.0;1106691408;92444994.0;0;111850000.0
2011-10-18;-102121338.0;0.0;179785000.0;4622205164.0;1948543806.0;1673659546.0;974573832;-28237865.0;0;179785000.0
2011-10-19;-125752453.0;0.0;141858000.0;4823128865.0;1966851823.0;1781394725.0;1097724504;-18757149.0;0;141858000.0
2011-10-20;-138261507.0;0.0;126940000.0;5306662962.0;2247434387.0;1850779548.0;1259107968;21189460.0;0;126940000.0
2011-10-21;-166216300.0;0.0;132870000.0;5416580678.0;2264647510.0;1833240236.0;1386863448;49912534.0;0;132870000.0
2011-10-22;-92744113.0;0.0;78840000.0;5100865762.0;2160430735.0;1539076445.0;1423075320;82178556.0;0;78840000.0
2011-10-23;-116984047.0;0.0;38880000.0;4890029959.0;2050172967.0;1500413660.0;1413423360;102593699.0;0;38880000.0
2011-10-24;-89121346.0;0.0;99960000.0;5207563528.0;2166849446.0;1739717811.0;1320546984;61084354.0;0;99960000.0
2011-10-25;-64746858.0;0.0;28800000.0;5078932472.0;2154025491.0;1750698266.0;1189747584;29072579.0;0;28800000.0
2011-10-26;-31304733.0;4320000.0;59580000.0;4922623175.0;2094244766.0;1756054661.0;1067019768;13054827.0;0;55260000.0
2011-10-27;-66097061.0;9360000.0;139772000.0;4885435563.0;2054886626.0;1760449843.0;1027111680;-69267872.0;0;130412000.0
2011-10-28;6565720.0;0.0;119708000.0;4746550972.0;2029753397.0;1680830902.0;953998920;-17183408.0;0;119708000.0
2011-10-29;35408848.0;0.0;74225000.0;4439514007.0;2048297672.0;1406532500.0;904927700;-25097144.0;0;74225000.0
2011-10-30;41140559.0;0.0;0.0;4278872424.0;2142424790.0;1310362142.0;789481512;-40897694.0;0;0.0
2011-10-31;71402792.0;0.0;21600000.0;4487824727.0;2091934738.0;1500600751.0;788999016;-70878442.0;0;21600000.0
2011-11-01;16370473.0;0.0;59300000.0;4199133030.0;1859608434.0;1479642937.0;798300552;-120858300.0;0;59300000.0
2011-11-02;-68116239.0;0.0;153571000.0;4348194552.0;1763826545.0;1718007850.0;815299128;-135218328.0;0;153571000.0
2011-11-03;-80393360.0;0.0;273661000.0;4578580769.0;1952916544.0;1683506762.0;797909472;-143035927.0;0;273661000.0
2011-11-04;-41825354.0;0.0;217712000.0;4565530070.0;1952032724.0;1660571553.0;830411544;-65224068.0;0;217712000.0
2011-11-05;-23612603.0;0.0;108970000.0;4053547449.0;1814347875.0;1410704615.0;772830288;-151516234.0;0;108970000.0
2011-11-06;-37997706.0;0.0;144810000.0;4138277241.0;1820848568.0;1391150509.0;835491240;-181610204.0;0;144810000.0
2011-11-07;-124799325.0;0.0;307560000.0;4512493455.0;1621693566.0;1796837888.0;961335432;-183517399.0;0;307560000.0
2011-11-08;-183822288.0;0.0;344450000.0;4856213026.0;1850968523.0;1821116737.0;1066896840;-154170139.0;0;344450000.0
2011-11-09;-138833021.0;0.0;454224000.0;5056387476.0;1796978958.0;1856771451.0;1149994176;-152282329.0;0;454224000.0
2011-11-10;-133647997.0;0.0;339016000.0;5095664367.0;1800697495.0;1878538549.0;1267957584;-139758881.0;0;339016000.0
2011-11-11;-109079014.0;0.0;251525000.0;5100869689.0;1750957038.0;1835874396.0;1435683048;-113014791.0;0;251525000.0
2011-11-12;-68086442.0;0.0;201260000.0;5018402761.0;1731686301.0;1609305344.0;1545107448;-46849847.0;0;201260000.0
2011-11-13;-133780075.0;0.0;122490000.0;4987133362.0;1740229092.0;1648572574.0;1628420856;-51691591.0;0;122490000.0
2011-11-14;-194829016.0;0.0;292811000.0;5700538809.0;1823396951.0;2079511872.0;1742917920;-73369596.0;0;292811000.0
2011-11-15;-179639558.0;0.0;254966000.0;5999491777.0;2005642628.0;2111995641.0;1856584968;-45153037.0;0;254966000.0
2011-11-16;-173017482.0;0.0;287255000.0;6109438997.0;2010468588.0;2111215867.0;1933335792;-13408780.0;0;287255000.0
2011-11-17;-111570288.0;0.0;254360000.0;6032856047.0;1938739627.0;2093152733.0;1909253376;51388629.0;0;254360000.0
2011-11-18;-43961737.0;0.0;147360000.0;5547263275.0;1946692839.0;1918400274.0;1619095464;20919403.0;0;147360000.0
2011-11-19;9626472.0;141490000.0;57600000.0;5127310033.0;1904159963.0;1618010904.0;1618965528;118896938.0;0;-83890000.0
2011-11-20;-16211408.0;46800000.0;40320000.0;5071781804.0;1878478972.0;1615562706.0;1596068328;55149293.0;0;-6480000.0
